USER        PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root          1  0.0  0.2 225780  8212 ?        Ss   5月17   0:09 /sbin/init splash
whoopsie   1764  0.0  0.3 468832 12456 ?        Ssl  5月17   0:00 /usr/bin/whoopsie -f
root       1768  0.0  0.2 272608  8644 ?        Ss   5月17   0:01 /usr/sbin/nmbd --foreground --no-process-group
root       1770  0.0  0.1 775452  4236 ?        Ssl  5月17   0:03 /snap/canonical-livepatch/39/canonical-livepatchd
kernoops   1789  0.0  0.0  56932   424 ?        Ss   5月17   0:02 /usr/sbin/kerneloops --test
kernoops   1792  0.0  0.0  56932   420 ?        Ss   5月17   0:02 /usr/sbin/kerneloops
root       1800  0.1  0.1 1553296 5672 ?        Sl   5月17   1:31 /opt/teamviewer/tv_bin/teamviewerd -d
root       1825  0.0  0.2 363848 11716 ?        Ss   5月17   0:00 /usr/sbin/smbd --foreground --no-process-group
root       1833  0.0  0.1 352132  4268 ?        S    5月17   0:00 /usr/sbin/smbd --foreground --no-process-group
root       1834  0.0  0.0 352124  3296 ?        S    5月17   0:00 /usr/sbin/smbd --foreground --no-process-group
gdm        1842  0.0  0.2 375544  8980 tty1     Sl   5月17   0:00 ibus-daemon --xim --panel disable
root       1844  0.0  0.1 363848  5160 ?        S    5月17   0:00 /usr/sbin/smbd --foreground --no-process-group
gdm        1909  0.0  0.1 294740  7444 tty1     Sl   5月17   0:00 /usr/lib/ibus/ibus-dconf
gdm        1917  0.0  0.6 490824 27868 tty1     Sl   5月17   0:00 /usr/lib/ibus/ibus-x11 --kill-daemon
gdm        1931  0.0  0.1 292684  7268 ?        Sl   5月17   0:00 /usr/lib/ibus/ibus-portal
root       1958  0.0  0.2 315360  8892 ?        Ssl  5月17   0:00 /usr/lib/x86_64-linux-gnu/boltd
root       1959  0.0  0.4 459536 19336 ?        Ssl  5月17   0:16 /usr/lib/packagekit/packagekitd
gdm        1960  0.0  0.7 639492 28952 tty1     Sl+  5月17   0:00 /usr/lib/gnome-settings-daemon/gsd-xsettings
gdm        1966  0.0  0.1 294776  7868 tty1     Sl+  5月17   0:00 /usr/lib/gnome-settings-daemon/gsd-a11y-settings
gdm        1970  0.0  0.6 490504 27604 tty1     Sl+  5月17   0:00 /usr/lib/gnome-settings-daemon/gsd-clipboard
gdm        1971  0.0  0.7 803496 29040 tty1     Sl+  5月17   0:14 /usr/lib/gnome-settings-daemon/gsd-color
gdm        1974  0.0  0.3 393872 12836 tty1     Sl+  5月17   0:00 /usr/lib/gnome-settings-daemon/gsd-datetime
gdm        1975  0.0  0.1 283880  5504 tty1     Sl+  5月17   0:00 /usr/lib/gnome-settings-daemon/gsd-housekeeping
gdm        1976  0.0  0.7 642788 28120 tty1     Sl+  5月17   0:00 /usr/lib/gnome-settings-daemon/gsd-keyboard
gdm        1978  0.0  0.7 1158944 29892 tty1    Sl+  5月17   0:00 /usr/lib/gnome-settings-daemon/gsd-media-keys
gdm        1984  0.0  0.1 202140  4492 tty1     Sl+  5月17   0:00 /usr/lib/gnome-settings-daemon/gsd-mouse
gdm        1985  0.0  0.7 662060 29448 tty1     Sl+  5月17   0:00 /usr/lib/gnome-settings-daemon/gsd-power
gdm        1988  0.0  0.2 267148  8476 tty1     Sl+  5月17   0:00 /usr/lib/gnome-settings-daemon/gsd-print-notifications
gdm        1989  0.0  0.1 202160  4416 tty1     Sl+  5月17   0:00 /usr/lib/gnome-settings-daemon/gsd-rfkill
gdm        1990  0.0  0.1 275876  4536 tty1     Sl+  5月17   0:00 /usr/lib/gnome-settings-daemon/gsd-screensaver-proxy
gdm        1993  0.0  0.2 321728  9536 tty1     Sl+  5月17   0:00 /usr/lib/gnome-settings-daemon/gsd-sharing
gdm        1996  0.0  0.1 390852  7396 tty1     Sl+  5月17   0:00 /usr/lib/gnome-settings-daemon/gsd-smartcard
gdm        2000  0.0  0.2 341232  9036 tty1     Sl+  5月17   0:00 /usr/lib/gnome-settings-daemon/gsd-sound
gdm        2002  0.0  0.7 575420 29016 tty1     Sl+  5月17   0:00 /usr/lib/gnome-settings-daemon/gsd-wacom
gdm        2015  0.0  0.1 218884  7264 tty1     Sl   5月17   0:00 /usr/lib/ibus/ibus-engine-simple
colord     2052  0.0  0.3 339824 14884 ?        Ssl  5月17   0:00 /usr/lib/colord/colord
root       2069  0.0  0.1 267972  7884 ?        Sl   5月17   0:00 gdm-session-worker [pam/gdm-password]
wang       2079  0.0  0.1  77052  7148 ?        Ss   5月17   0:00 /lib/systemd/systemd --user
wang       2080  0.0  0.0 114160  1964 ?        S    5月17   0:00 (sd-pam)
wang       2093  0.0  0.1 509972  6516 ?        Sl   5月17   0:00 /usr/bin/gnome-keyring-daemon --daemonize --login
wang       2098  0.0  0.1 212240  5928 tty2     Ssl+ 5月17   0:00 /usr/lib/gdm3/gdm-x-session --run-script env GNOME_SHELL_SESSION_MODE=ubuntu gnome-session --session=ubuntu
wang       2100  0.4  1.4 455400 56684 tty2     Sl+  5月17   5:25 /usr/lib/xorg/Xorg vt2 -displayfd 3 -auth /run/user/1000/gdm/Xauthority -background none -noreset -keeptty -verbose 3
wang       2118  0.0  0.1  52188  6332 ?        Ss   5月17   0:18 /usr/bin/dbus-daemon --session --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
wang       2121  0.0  0.3 652304 15072 tty2     Sl+  5月17   0:00 /usr/lib/gnome-session/gnome-session-binary --session=ubuntu
wang       2143  0.0  0.9 308376 38668 ?        S    5月17   0:41 /usr/bin/fcitx
wang       2157  0.0  0.0  50068  3264 ?        Ss   5月17   0:32 /usr/bin/dbus-daemon --syslog --fork --print-pid 5 --print-address 7 --config-file /usr/share/fcitx/dbus/daemon.conf
wang       2166  0.0  0.0  27592   208 ?        SN   5月17   0:00 /usr/bin/fcitx-dbus-watcher unix:abstract=/tmp/dbus-Bq72Q1wXPA,guid=64f16b4595991e70abe6d15f5afc311f 2157
wang       2212  0.0  0.0  11304   320 ?        Ss   5月17   0:00 /usr/bin/ssh-agent /usr/bin/sogou-session /usr/bin/im-launch env GNOME_SHELL_SESSION_MODE=ubuntu gnome-session --session=ubuntu
wang       2216  0.0  0.1 292072  6644 ?        Ssl  5月17   0:00 /usr/lib/gvfs/gvfsd
wang       2221  0.0  0.1 432036  7612 ?        Sl   5月17   0:00 /usr/lib/gvfs/gvfsd-fuse /run/user/1000/gvfs -f -o big_writes
wang       2230  0.0  0.2 367936  8556 ?        Ssl  5月17   0:00 /usr/lib/at-spi2-core/at-spi-bus-launcher
wang       2235  0.0  0.1  50052  4120 ?        S    5月17   0:00 /usr/bin/dbus-daemon --config-file=/usr/share/defaults/at-spi2/accessibility.conf --nofork --print-address 3
wang       2237  0.0  0.1 220772  6724 ?        Sl   5月17   0:02 /usr/lib/at-spi2-core/at-spi2-registryd --use-gnome-session
wang       2253  0.6  8.5 4283040 342032 tty2   Sl+  5月17   7:32 /usr/bin/gnome-shell
wang       2263  0.0  0.2 1172492 10128 ?       S<l  5月17   0:31 /usr/bin/pulseaudio --start --log-target=syslog
root       2268  0.0  0.0      0     0 ?        S<   5月17   0:00 [krfcommd]
wang       2282  0.0  0.2 377692  9372 tty2     Sl   5月17   0:00 ibus-daemon --xim --panel disable
wang       2286  0.0  0.1 297044  8016 tty2     Sl   5月17   0:00 /usr/lib/ibus/ibus-dconf
wang       2288  0.0  0.5 356944 21544 tty2     Sl   5月17   0:01 /usr/lib/ibus/ibus-x11 --kill-daemon
wang       2290  0.0  0.1 294980  7844 ?        Sl   5月17   0:00 /usr/lib/ibus/ibus-portal
wang       2301  0.0  0.3 696424 13728 ?        Sl   5月17   0:00 /usr/lib/gnome-shell/gnome-shell-calendar-server
wang       2305  0.0  0.4 1309176 19828 ?       Ssl  5月17   0:00 /usr/lib/evolution/evolution-source-registry
wang       2313  0.0  0.4 101437188 18228 ?     Sl   5月17   0:00 /usr/lib/gnome-online-accounts/goa-daemon
wang       2320  0.0  0.2 320496 10016 ?        Ssl  5月17   0:00 /usr/lib/gvfs/gvfs-udisks2-volume-monitor
wang       2330  0.0  0.2 319796  8796 ?        Sl   5月17   0:01 /usr/lib/gnome-online-accounts/goa-identity-service
wang       2335  0.0  0.1 378940  7240 ?        Ssl  5月17   0:00 /usr/lib/gvfs/gvfs-afc-volume-monitor
wang       2340  0.0  0.1 274172  5560 ?        Ssl  5月17   0:00 /usr/lib/gvfs/gvfs-goa-volume-monitor
